Epoch,LR,Loss,Accuracy,NC1,NC2,NC3,NC4
1,0.05,0.45027285115242005,83.468,0.459993314743042,0.4586631655693054,0.9027638663966719,0.1281999945640564
2,0.05,0.2453581640291214,90.954,0.33509602546691897,0.4147663414478302,0.927832269056367,0.051920000463724136
3,0.05,0.1941509670972824,92.96,0.29999508857727053,0.4343438446521759,0.7583979362983797,0.052880000323057175
4,0.05,0.16784075157165526,93.84,0.2896620750427246,0.37333738803863525,0.6385594472472214,0.06063999980688095
5,0.05,0.1394304714012146,94.876,0.318064284324646,0.3652455806732178,0.5454932677126045,0.05034000054001808
6,0.05,0.12315659750938415,95.496,0.26467070579528806,0.2950817346572876,0.4325935200450317,0.0357000008225441
7,0.05,0.11067097356557846,95.938,0.2383716106414795,0.2373574823141098,0.35103756962831767,0.0378200002014637
8,0.05,0.09476043824911118,96.59,0.2575832366943359,0.2717013657093048,0.3344439876049279,0.03214000165462494
9,0.05,0.09116235219478608,96.644,0.21739497184753417,0.28273889422416687,0.32709852873792045,0.0318400003015995
10,0.05,0.08245225468158722,97.074,0.20503597259521483,0.20841388404369354,0.25832102938764834,0.014019999653100967
11,0.05,0.07097619858503341,97.404,0.20383088588714598,0.2108636200428009,0.2470931466977513,0.01711999997496605
12,0.05,0.07012329378128052,97.468,0.20916762351989746,0.1981864720582962,0.20697020580985637,0.012880000285804272
13,0.05,0.06432055765867234,97.766,0.18220030069351195,0.20736095309257507,0.20707410224923084,0.016739999875426292
14,0.05,0.06293070356845856,97.842,0.1601995825767517,0.18183377385139465,0.16924217885667758,0.01730000041425228
15,0.05,0.06357094912648201,97.75,0.16937928199768065,0.17642898857593536,0.16614282592366525,0.009440000168979168
16,0.05,0.05989293254137039,97.97,0.17261959314346315,0.19432227313518524,0.16437913083930855,0.012799999676644802
17,0.05,0.06054855896949768,97.904,0.16397312879562378,0.17998911440372467,0.14880446173436557,0.015699999406933784
18,0.05,0.0629716703414917,97.862,0.14399151802062987,0.16742980480194092,0.13819276465522368,0.010060000233352184
19,0.05,0.059214253960847854,97.894,0.14817445278167723,0.17372281849384308,0.12302253059920076,0.007840000092983246
20,0.05,0.054665994374752044,98.106,0.13818933963775634,0.17674852907657623,0.1204811958172094,0.01095999963581562
21,0.05,0.06270283134579659,97.85,0.15920939445495605,0.18738023936748505,0.11982046959105119,0.01696000061929226
